代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
300124,汇川技术,64.0,64.0,60.13,61.36,65.74,-6.66,4143372813.0
300136,信维通信,88.0,90.97,85.6,87.49,88.46,-1.1,8354141488.0
300152,*ST动力,1.82,1.85,1.75,1.78,1.84,-3.26,47558306.0
300223,北京君正,122.76,129.0,121.61,124.02,122.48,1.26,3716362369.0
300274,阳光电源,125.67,132.5,124.81,129.89,131.39,-1.14,16012515286.0
300285,国瓷材料,34.61,37.76,33.71,37.05,35.03,5.77,2807149514.0
300308,中际旭创,854.0,854.0,821.0,825.0,857.03,-3.74,24518220806.0
300394,天孚通信,321.12,321.64,307.8,309.8,322.25,-3.86,10803692463.0
300408,三环集团,75.56,82.96,75.3,81.68,75.71,7.89,4272512078.0
300433,蓝思科技,26.5,26.56,25.5,25.62,26.71,-4.08,1875798045.0
300442,润泽科技,90.5,91.5,88.09,88.31,90.12,-2.01,3413685026.0
300475,香农芯创,170.73,178.68,168.0,171.61,170.99,0.36,9215215579.0
300476,胜宏科技,320.0,320.78,309.28,313.06,317.4,-1.37,8917352354.0
300498,温氏股份,15.6,15.76,15.48,15.73,15.66,0.45,653671418.0
300502,新易盛,537.34,548.0,517.01,535.46,538.0,-0.47,19045099166.0
300555,ST路通,13.89,13.89,13.42,13.46,13.72,-1.9,39697157.0
300567,精测电子,138.5,145.0,134.58,137.74,139.75,-1.44,1929749949.0
300594,ST朗进,24.0,24.0,22.86,22.88,24.29,-5.8,185649289.0
300604,长川科技,176.46,188.0,173.99,179.31,175.02,2.45,7072236149.0
300620,光库科技,236.92,245.63,235.0,238.7,239.7,-0.42,2889918160.0
300661,圣邦股份,89.0,91.5,87.5,88.35,90.12,-1.96,2216693590.0
300666,江丰电子,167.8,180.0,165.04,179.37,167.75,6.93,3317275315.0
300750,宁德时代,426.19,433.3,423.0,427.67,434.88,-1.66,14992134063.0
