排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
357,航运港口,BK0450,12260.96,-9.69,-0.08,1240787232000,0.87,14,22,日照港,5.8
358,电动乘用车,BK1519,4437.11,-3.53,-0.08,954673648000,0.9,1,2,北汽蓝谷,0.59
359,房产租赁经纪,BK1341,1311.78,-1.11,-0.08,17491369000,3.55,1,1,宁波富达,0.2
360,特钢Ⅲ,BK1370,2028.55,-1.87,-0.09,171964771000,1.02,3,7,金洲管道,2.4
361,特钢Ⅱ,BK1227,2028.55,-1.87,-0.09,171964771000,1.02,3,7,金洲管道,2.4
362,公用事业,BK0427,9424.46,-9.11,-0.1,4191302336000,1.1,56,72,郴电国际,10.0
363,建筑装饰,BK1209,2953.34,-2.88,-0.1,1757187728000,1.26,58,93,恒尚节能,9.99
364,厨卫电器,BK1240,5691.83,-5.74,-0.1,49394226000,2.31,2,7,火星人,7.09
365,多业态零售,BK1553,1432.8,-1.47,-0.1,65054749000,2.01,7,9,新华百货,2.01
366,品牌化妆品,BK1498,1441.78,-1.49,-0.1,91824038000,1.94,4,4,水羊股份,1.2
367,其他生物制品,BK1596,8113.26,-9.31,-0.11,624397760000,2.57,19,19,禾元生物-U,5.35
368,服装家纺,BK1225,2384.5,-2.82,-0.12,314766000000,1.42,19,39,酷特智能,6.91
369,美容护理,BK1035,870.66,-1.04,-0.12,259825305000,1.42,11,21,洁雅股份,2.95
370,熟食,BK1584,2096.54,-2.65,-0.13,21781614000,0.6,1,2,煌上煌,1.8
371,定制家居,BK1539,7190.8,-9.1,-0.13,74318006000,2.42,6,10,德尔未来,3.85
372,化妆品,BK1252,1880.05,-2.38,-0.13,122237241000,1.72,8,8,嘉亨家化,1.4
373,蓄电池及其他电池,BK1306,2250.49,-2.94,-0.13,76498221000,3.44,3,7,安孚科技,6.27
374,硅料硅片,BK1319,1991.89,-2.61,-0.13,92669969000,2.52,1,4,*ST沐邦,6.43
375,轨交设备Ⅲ,BK1394,1750.58,-2.34,-0.13,422272688000,0.91,12,19,长青科技,4.37
376,轨交设备Ⅱ,BK1236,1750.58,-2.34,-0.13,422272688000,0.91,12,19,长青科技,4.37
377,水务及水治理,BK1390,2015.13,-2.7,-0.13,283097840000,1.26,17,26,上海洗霸,4.71
378,跨境物流,BK1488,1665.36,-2.24,-0.13,176691057000,0.97,6,8,华光源海,2.6
379,交通运输,BK1210,2446.17,-3.53,-0.14,3215527376000,0.76,43,85,海晨股份,11.62
380,化妆品制造及其他,BK1497,1975.99,-2.96,-0.15,30413203000,1.39,4,4,嘉亨家化,1.4
381,电工仪器仪表,BK1308,2524.55,-3.82,-0.15,86067693000,1.7,5,9,华盛昌,10.0
382,小家电,BK1244,2146.59,-3.41,-0.16,199831692000,0.84,8,14,利仁科技,2.48
383,特种纸,BK1545,2506.28,-4.27,-0.17,72622370000,3.08,4,9,青山纸业,10.09
384,钢结构,BK1474,2720.71,-4.94,-0.18,59096637000,1.44,4,5,东南网架,2.59
385,基础建设,BK1247,2150.81,-4.03,-0.19,772738528000,0.85,12,30,成都路桥,10.0
386,光伏设备,BK1031,1157.16,-2.19,-0.19,1362310016000,1.91,27,39,帝科股份,7.67
387,家居用品,BK0440,47797.39,-97.45,-0.2,464320144000,2.38,28,48,海鸥住工,10.02
388,钛白粉,BK1421,1885.72,-3.88,-0.21,67852311000,1.37,2,3,鲁北化工,0.13
389,铁矿石,BK1371,1791.63,-4.0,-0.22,77191025000,1.71,2,3,金岭矿业,0.96
390,纯碱,BK1417,1006.52,-2.32,-0.23,48889073000,1.5,2,3,三友化工,0.28
391,传媒,BK0486,9293.25,-23.35,-0.25,1389623920000,1.78,50,71,蓝色光标,3.12
392,轮胎轮毂,BK1527,2725.83,-8.01,-0.29,238887284000,1.12,7,13,海安集团,2.57
393,水泥制品,BK1463,2045.98,-6.08,-0.3,29375988000,1.18,3,5,苏博特,1.32
394,医美服务,BK1499,623.58,-1.88,-0.3,5916600000,0.45,0,1,*ST美谷,-0.3
395,仓储物流,BK1486,3968.33,-11.97,-0.3,34084929000,1.08,2,4,密尔克卫,1.26
396,火力发电,BK1377,2389.55,-7.22,-0.3,1012291936000,1.28,11,19,豫能控股,2.17
397,清洁小家电,BK1459,2061.33,-6.25,-0.3,109593362000,1.26,3,5,欧伦电气,1.38
398,港口,BK1481,1612.99,-4.97,-0.31,506953792000,0.56,4,12,日照港,5.8
399,厨房小家电,BK1457,1991.19,-6.17,-0.31,70520294000,0.55,1,9,利仁科技,2.48
400,其他能源发电,BK1378,1473.11,-4.75,-0.32,10980752000,0.93,1,1,长青集团,1.03
401,自然景区,BK1563,2933.2,-9.5,-0.32,59658349000,1.87,3,6,长白山,1.21
402,造纸,BK1267,2517.54,-8.3,-0.33,166420414000,2.06,8,16,青山纸业,10.09
403,家纺,BK1353,4109.18,-13.66,-0.33,31203359000,1.24,2,5,众望布艺,0.4
