date,source,metric,value
2026-07-12,legu,真实涨停,87.0
2026-07-12,legu,真实跌停,6.0
2026-07-12,legu,跌停,7.0
2026-07-13,data-全A,上涨家数,801.0
2026-07-13,data-全A,下跌家数,4683.0
2026-07-13,data-全A,赚钱效应_涨跌比,14.61
2026-07-13,data-池,涨停家数,29.0
2026-07-13,data-池,炸板家数,14.0
2026-07-13,data-池,跌停家数,172.0
2026-07-13,legu,上涨,780.0
2026-07-13,legu,下跌,4377.0
2026-07-13,legu,活跃度,14.99
2026-07-13,legu,涨停,32.0
2026-07-13,legu,真实涨停,25.0
2026-07-13,legu,真实跌停,182.0
2026-07-13,legu,跌停,187.0
2026-07-14,data-全A,上涨家数,4211.0
2026-07-14,data-全A,下跌家数,1247.0
2026-07-14,data-全A,赚钱效应_涨跌比,77.15
2026-07-14,data-池,涨停家数,81.0
2026-07-14,data-池,炸板家数,21.0
2026-07-14,data-池,跌停家数,22.0
2026-07-14,legu,上涨,3919.0
2026-07-14,legu,下跌,1215.0
2026-07-14,legu,活跃度,75.35
2026-07-14,legu,涨停,87.0
2026-07-14,legu,真实涨停,83.0
2026-07-14,legu,真实跌停,20.0
2026-07-14,legu,跌停,29.0
2026-07-16,data-全A,上涨家数,2499.0
2026-07-16,data-全A,下跌家数,2861.0
2026-07-16,data-全A,赚钱效应_涨跌比,46.62
2026-07-16,data-池,涨停家数,42.0
2026-07-16,data-池,炸板家数,25.0
2026-07-16,data-池,跌停家数,33.0
2026-07-16,legu,上涨,2344.0
2026-07-16,legu,下跌,2695.0
2026-07-16,legu,活跃度,45.07
2026-07-16,legu,涨停,46.0
2026-07-16,legu,真实涨停,42.0
2026-07-16,legu,真实跌停,31.0
2026-07-16,legu,跌停,41.0
2026-07-17,data-全A,上涨家数,482.0
2026-07-17,data-全A,下跌家数,5001.0
2026-07-17,data-全A,赚钱效应_涨跌比,8.79
2026-07-17,data-池,涨停家数,33.0
2026-07-17,data-池,炸板家数,10.0
2026-07-17,data-池,跌停家数,192.0
2026-07-17,legu,上涨,405.0
2026-07-17,legu,下跌,4758.0
2026-07-17,legu,活跃度,7.79
2026-07-17,legu,涨停,34.0
2026-07-17,legu,真实涨停,28.0
2026-07-17,legu,真实跌停,205.0
2026-07-17,legu,跌停,212.0
2026-07-18,legu,上涨,405.0
2026-07-18,legu,下跌,4758.0
2026-07-18,legu,活跃度,7.79
2026-07-18,legu,涨停,34.0
2026-07-18,legu,真实涨停,28.0
2026-07-18,legu,真实跌停,205.0
2026-07-18,legu,跌停,212.0
2026-07-19,legu,上涨,405.0
2026-07-19,legu,下跌,4758.0
2026-07-19,legu,活跃度,7.79
2026-07-19,legu,涨停,34.0
2026-07-19,legu,真实涨停,28.0
2026-07-19,legu,真实跌停,205.0
2026-07-19,legu,跌停,212.0
2026-07-20,data-全A,上涨家数,1740.0
2026-07-20,data-全A,下跌家数,3710.0
2026-07-20,data-全A,赚钱效应_涨跌比,31.93
2026-07-20,data-池,涨停家数,53.0
2026-07-20,data-池,炸板家数,38.0
2026-07-20,data-池,跌停家数,211.0
2026-07-20,legu,上涨,1709.0
2026-07-20,legu,下跌,3415.0
2026-07-20,legu,活跃度,32.87
2026-07-20,legu,涨停,55.0
2026-07-20,legu,真实涨停,53.0
2026-07-20,legu,真实跌停,253.0
2026-07-20,legu,跌停,266.0
2026-07-21,data-全A,上涨家数,3107.0
2026-07-21,data-全A,下跌家数,2301.0
2026-07-21,data-全A,赚钱效应_涨跌比,57.45
2026-07-21,data-池,涨停家数,121.0
2026-07-21,data-池,炸板家数,8.0
2026-07-21,data-池,跌停家数,21.0
2026-07-21,legu,上涨,2870.0
2026-07-21,legu,下跌,2219.0
2026-07-21,legu,活跃度,55.18
2026-07-21,legu,涨停,120.0
2026-07-21,legu,真实涨停,118.0
2026-07-21,legu,真实跌停,16.0
2026-07-21,legu,跌停,28.0
2026-07-22,data-全A,上涨家数,1530.0
2026-07-22,data-全A,下跌家数,3875.0
2026-07-22,data-全A,赚钱效应_涨跌比,28.31
2026-07-22,data-池,涨停家数,47.0
2026-07-22,data-池,炸板家数,36.0
2026-07-22,data-池,跌停家数,8.0
2026-07-22,legu,上涨,1432.0
2026-07-22,legu,下跌,3650.0
2026-07-22,legu,活跃度,27.53
2026-07-22,legu,涨停,47.0
2026-07-22,legu,真实涨停,42.0
2026-07-22,legu,真实跌停,5.0
2026-07-22,legu,跌停,10.0
2026-07-23,data-全A,上涨家数,4260.0
2026-07-23,data-全A,下跌家数,1208.0
2026-07-23,data-全A,赚钱效应_涨跌比,77.91
2026-07-23,data-池,涨停家数,116.0
2026-07-23,data-池,炸板家数,25.0
2026-07-23,data-池,跌停家数,2.0
2026-07-23,legu,上涨,3997.0
2026-07-23,legu,下跌,1143.0
2026-07-23,legu,活跃度,76.85
2026-07-23,legu,涨停,128.0
2026-07-23,legu,真实涨停,122.0
2026-07-23,legu,真实跌停,2.0
2026-07-23,legu,跌停,2.0
