代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
562030,信创ETF华宝,0.476,0.4753,-0.15,-0.007,-1.45,59516.0,2852987.0,0.477,0.487,0.471,0.483,3.31,4.13,0.91,18.65,32520.0,26996.0,-315815.0,-11.07,48898.0,1.71,-364713.0,-12.78,226875.0,7.95,88940.0,3.12,-9.0,0.475,0.476,143973900.0,68531576,68531576,2026-07-30,2026-07-30 16:11:39+08:00
159360,A500ETF天弘,1.278,1.2794,0.11,-0.019,-1.46,293251.0,37480884.225,1.294,1.3,1.258,1.297,3.24,2.36,0.71,-61.84,146309.0,146942.0,-1717236.0,-4.58,-7611278.0,-20.31,5894042.0,15.73,966064.0,2.58,751172.0,2.0,2.0,1.278,1.28,1241184528.0,1586233827,1586233827,2026-07-30,2026-07-30 15:34:15+08:00
159609,光伏ETF浦银,0.468,0.4657,-0.49,-0.007,-1.47,178250.0,8335586.6,0.474,0.477,0.462,0.475,3.16,5.57,1.03,67.46,71349.0,106901.0,121515.0,1.46,156632.0,1.88,-35117.0,-0.42,-381783.0,-4.58,260269.0,3.12,-471.0,0.468,0.469,319903408.0,149714795,149714795,2026-07-30,2026-07-30 15:34:06+08:00
516230,光伏ETF招商,0.739,0.7376,-0.19,-0.011,-1.47,126972.0,9427850.0,0.75,0.755,0.732,0.75,3.07,1.75,1.27,9.19,50082.0,76890.0,-582931.0,-6.18,727394.0,7.72,-1310325.0,-13.9,462360.0,4.9,120572.0,1.28,2847.0,0.737,0.741,726921008.0,537194625,537194625,2026-07-30,2026-07-30 16:12:00+08:00
515790,光伏ETF华泰柏瑞,0.804,0.8023,-0.21,-0.012,-1.47,2601956.0,210355532.0,0.804,0.822,0.796,0.816,3.19,4.24,1.03,36.87,1108986.0,1492970.0,-5421853.0,-2.58,-821527.0,-0.39,-4600326.0,-2.19,2842413.0,1.35,2579439.0,1.23,-10342.0,0.804,0.805,6141494016.0,4937761189,4937761189,2026-07-30,2026-07-30 16:11:49+08:00
589960,科创新能源ETF易方达,0.804,0.802,-0.25,-0.012,-1.47,385213.0,31268478.0,0.809,0.823,0.795,0.816,3.43,22.36,1.07,-0.31,153084.0,232129.0,1494382.0,4.78,1733169.0,5.54,-238787.0,-0.76,-1328692.0,-4.25,-165690.0,-0.53,-1308.0,0.803,0.804,172316000.0,138542064,138542064,2026-07-30,2026-07-30 16:12:02+08:00
159863,光伏ETF鹏华,0.537,0.5351,-0.36,-0.008,-1.47,52001.0,2810186.0,0.545,0.549,0.533,0.545,2.94,1.67,0.8,-20.64,24325.0,27676.0,-711778.0,-25.33,27655.0,0.98,-739433.0,-26.31,538971.0,19.18,172808.0,6.15,4.0,0.536,0.537,311729360.0,167398666,167398666,2026-07-30,2026-07-30 15:34:51+08:00
513650,标普500ETF南方,1.87,1.7892,-4.52,-0.028,-1.48,922148.0,172584426.0,1.882,1.885,1.866,1.898,1.0,2.14,0.88,6.33,352562.0,569586.0,-25356153.0,-14.69,-9380877.0,-5.44,-15975276.0,-9.26,6040417.0,3.5,19315736.0,11.19,-5102.0,1.869,1.87,4317733888.0,8074162371,8074162371,2026-07-30,2026-07-30 16:11:59+08:00
159339,A500ETF银华,1.198,1.1971,-0.08,-0.018,-1.48,739928.0,88700812.298,1.206,1.216,1.179,1.216,3.04,3.73,0.91,3.02,413277.0,326651.0,-4589379.0,-5.17,-2501570.0,-2.82,-2087809.0,-2.35,2081329.0,2.35,2508050.0,2.83,22.0,1.197,1.198,1982086848.0,2374540044,2374540044,2026-07-30,2026-07-30 15:34:27+08:00
562000,A100ETF华宝,0.6,0.6008,0.13,-0.009,-1.48,54439.0,3263213.0,0.61,0.611,0.589,0.609,3.61,0.86,0.84,5.16,16320.0,38119.0,8793.0,0.27,-3012.0,-0.09,11805.0,0.36,-89989.0,-2.76,81197.0,2.49,-109.0,0.599,0.6,632737904.0,379642742,379642742,2026-07-30,2026-07-30 16:11:40+08:00
