序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2277,002431,ST棕榈,1.37,1.48,0.02,208599.0,28262813.36,2.22,1.37,1.34,1.35,1.35,1.13,1.16,-4.87,8.31,2469294528.0,2469294528.0,0.74,0.74,-23.46,-42.68
2278,605151,西上海,17.8,1.48,0.26,12761.0,22756256.0,2.11,17.99,17.62,17.81,17.54,0.68,0.95,30.08,1.74,2395065152.0,2395065152.0,-0.5,-0.45,-21.48,-5.77
2279,688399,硕世生物,27.5,1.48,0.4,13596.0,37005796.0,2.36,27.5,26.86,26.94,27.1,0.43,1.1,40.4,1.16,3413579043.0,3413579043.0,0.29,0.26,-37.46,-40.58
2280,600727,鲁北化工,7.53,1.48,0.11,148058.0,110347822.0,2.29,7.53,7.36,7.39,7.42,1.14,2.8,11.6,1.19,3980231007.0,3980231007.0,0.0,0.4,-6.69,10.9
2281,920896,旺成科技,12.33,1.48,0.18,7319.0,8962971.58,2.39,12.33,12.04,12.1,12.15,1.09,1.65,22.32,2.91,1248094879.0,547474317.0,0.08,0.41,-28.65,-41.17
2282,920239,长虹能源,22.69,1.48,0.33,11720.0,26436191.34,3.44,22.82,22.05,22.45,22.36,0.65,0.65,15.63,3.83,4131263689.0,4081476746.0,0.09,0.09,-23.55,-29.31
2283,301203,国泰环保,32.86,1.48,0.48,7801.0,25456585.0,2.44,33.0,32.21,32.5,32.38,1.03,1.78,35.34,1.88,2628800000.0,1440664550.0,0.24,0.12,-36.64,3.2
2284,601155,新城控股,10.94,1.48,0.16,220780.0,238480527.0,2.78,10.95,10.65,10.73,10.78,1.16,0.98,19.8,0.4,24676514045.0,24676514045.0,0.09,0.09,-32.43,-21.58
2285,600880,博瑞传播,4.14,1.47,0.06,280796.0,116462703.0,3.68,4.2,4.05,4.05,4.08,1.08,2.57,161.93,1.51,4526394861.0,4525144925.0,-0.24,0.0,-20.69,-16.19
2286,688255,凯尔达,25.61,1.47,0.37,34390.0,87960558.0,3.25,25.85,25.03,25.2,25.24,0.72,3.13,63.78,2.67,2813485661.0,2813485661.0,0.04,0.04,-19.21,-29.8
2287,000783,长江证券,8.96,1.47,0.13,1244540.0,1115993540.68,2.83,9.04,8.79,8.8,8.83,1.24,2.25,8.33,1.41,49549453614.0,49549453614.0,-0.11,0.0,3.7,14.14
2288,920491,奥迪威,23.52,1.47,0.34,23599.0,55329518.87,2.93,23.76,23.08,23.39,23.18,0.93,2.04,62.91,3.18,3319687594.0,2724155690.0,0.0,0.09,-8.94,-20.57
2289,000659,珠海中富,2.77,1.47,0.04,231024.0,63323357.42,2.2,2.77,2.71,2.75,2.73,0.6,1.8,-165.1,38.72,3561395980.0,3561395980.0,0.0,0.73,-33.89,-31.77
2290,603949,雪龙集团,13.85,1.47,0.2,29503.0,40733580.0,1.76,13.88,13.64,13.65,13.65,0.9,1.4,31.11,2.76,2918703378.0,2911343045.0,0.0,0.22,-21.44,-25.34
2291,600302,ST标准,6.21,1.47,0.09,62066.0,38654182.0,5.23,6.36,6.04,6.04,6.12,1.13,1.79,-26.05,4.43,2148720883.0,2148720883.0,0.32,-0.8,-26.51,-40.8
2292,688202,美迪西,79.16,1.47,1.15,66499.0,524749348.0,5.42,80.71,76.48,77.0,78.01,0.91,4.95,170.27,5.43,10635318885.0,10635318885.0,0.08,0.08,20.89,40.35
2293,603997,继峰股份,13.16,1.46,0.19,151512.0,200308560.0,3.55,13.43,12.97,13.1,12.97,0.79,1.19,31.8,3.18,16743005610.0,16743005610.0,-0.08,0.08,-1.2,-4.57
2294,001332,锡装股份,31.23,1.46,0.45,22388.0,69513061.04,2.08,31.3,30.66,30.8,30.78,1.13,3.33,13.23,1.86,4830843780.0,2098809058.0,0.03,0.1,-31.68,-21.49
2295,002284,亚太股份,9.7,1.46,0.14,287125.0,280236515.37,5.44,10.12,9.6,9.8,9.56,1.5,3.92,12.61,2.09,7169273376.0,7102226976.0,-0.21,0.31,-26.46,-34.59
2296,600488,津药药业,5.55,1.46,0.08,696758.0,384349903.0,3.47,5.59,5.4,5.47,5.47,0.85,6.38,109.06,2.03,6059971074.0,6059971074.0,0.0,0.0,-23.02,37.38
2297,002076,星光股份,2.08,1.46,0.03,583020.0,122098973.98,5.37,2.16,2.05,2.05,2.05,2.14,5.59,-82.05,7.58,2306978941.0,2167922031.0,0.0,0.0,-9.96,3.48
2298,000678,襄阳轴承,9.02,1.46,0.13,129007.0,115657851.34,2.47,9.06,8.84,8.97,8.89,1.02,2.81,-54.55,5.32,4145698409.0,4145698409.0,0.0,0.22,-29.59,-39.99
2299,920056,能之光,16.66,1.46,0.24,5264.0,8714010.09,2.44,16.7,16.3,16.52,16.42,1.0,1.71,22.97,2.53,1360983722.0,513859057.0,0.06,0.18,-27.47,-32.33
2300,300658,延江股份,10.44,1.46,0.15,73035.0,76000737.61,3.3,10.5,10.16,10.31,10.29,0.77,3.31,27.64,2.61,3474057256.0,2305609898.0,0.38,0.19,-50.68,-29.27
2301,002978,安宁股份,27.04,1.46,0.39,40719.0,109741083.21,1.91,27.17,26.66,26.72,26.65,1.42,1.1,20.86,1.48,12762608464.0,9985319248.0,0.07,0.07,-12.89,-17.44
2302,300919,中伟新材,41.65,1.46,0.6,147467.0,612544256.27,2.9,41.99,40.8,41.01,41.05,1.15,1.61,19.58,1.86,43502017730.0,38097581703.0,0.02,0.14,-30.62,-9.38
2303,300881,盛德鑫泰,33.68,1.45,0.48,10273.0,34397728.0,2.53,33.78,32.94,33.19,33.2,0.71,1.79,21.1,2.99,3704800000.0,1933442500.0,0.18,0.18,-33.57,-0.53
2304,600331,宏达股份,13.29,1.45,0.19,527426.0,702234464.0,4.43,13.57,12.99,13.16,13.1,1.0,2.6,-260.4,11.27,35106864000.0,27005280000.0,0.0,0.15,-24.19,3.91
