handle,followers,days_seen,n_tweets,engage_sum,lang,market,source
Money_or_Life_X,24821,7,8,1016,zh,A股,pool
Ckrh8w,5381,15,32,928,zh,A股,pool
Alexjandro990,49309,5,5,354,zh,A股,pool
Steam_Diary123,48416,5,5,497,zh,A股,pool
nft_hu,48863,5,5,254,zh,A股,pool
fkscamlee,6056,14,16,582,zh,A股,pool
Naive_BNB,18492,8,8,138,zh,A股,pool
NFTMILK,32208,6,7,387,zh,A股,pool
TradercBTC,14333,9,10,89,zh,A股,pool
ETH116688,18023,8,8,158,zh,A股,pool
Joneessn,44834,5,5,264,zh,A股,pool
caizhenghai,44616,5,5,141,zh,A股,pool
falali2015,17378,8,9,88,zh,A股,pool
baispx,21768,7,9,709,zh,A股,pool
laodi888,29902,6,6,407,zh,A股,pool
xiaoshunli,41300,5,5,1535,zh,A股,pool
Geight16,17095,8,8,83,zh,A股,pool
WeexCn,16980,8,9,89,zh,A股,pool
kang_824,21444,7,7,368,zh,A股,pool
0xAllen,40954,5,6,134,zh,A股,pool
nini_incrypto_,20075,7,7,653,zh,A股,pool
bizixun,40072,5,5,260,zh,A股,pool
0xtonixie,14734,8,9,998,zh,A股,pool
BTCqzy1,17848,7,8,3563,zh,A股,pool
rtsky7,12029,9,11,58,zh,A股,pool
darrencao2024,26372,6,6,413,zh,A股,pool
spicycandy00,18823,7,7,1007,zh,A股,pool
QT9277,37785,5,5,2,zh,A股,pool
hanqing1120,11450,9,14,11,zh,A股,pool
mars_bnb,36132,5,5,183,zh,A股,pool
Jingxin147741,33265,5,6,990,zh,A股,pool
0xMulight,13184,8,9,594,zh,A股,pool
flcjbtc,33279,5,7,119,zh,A股,pool
LmhdbAi,22781,6,6,239,zh,A股,pool
agudianjinshou,12238,8,12,213,zh,A股,pool
sodislikea,21425,6,6,411,zh,A股,pool
softlipa1018,29354,5,5,213,zh,A股,pool
FokLouis144,7283,10,14,81,zh,A股,pool
Joensmoon,28922,5,5,118,zh,A股,pool
poyincom,28274,5,5,290,zh,A股,pool
OtmAtm,14219,7,7,509,zh,A股,pool
jiroucaigou,26844,5,5,1189,zh,A股,pool
CryptoSociety42,27385,5,5,241,zh,A股,pool
YouTiaoFinance,27882,5,5,11,zh,A股,pool
Kongkongda5882,26695,5,5,162,zh,A股,pool
Showy005,25899,5,5,397,zh,A股,pool
XiaohuiAI666,18030,6,6,337,zh,A股,pool
crypto_Abao,8018,9,9,179,zh,A股,pool
DrHashClub,26440,5,5,38,zh,A股,pool
Zhouqi2013,17764,6,8,316,zh,A股,pool
YuChen,13462,7,7,3,zh,A股,pool
spark888,16960,6,9,442,zh,A股,pool
tkkyuantkk,5934,10,11,392,zh,A股,pool
xm597760789,12234,7,7,69,zh,A股,pool
hibtc37,22742,5,5,225,zh,A股,pool
ssslumdunk,15815,6,6,56,zh,A股,pool
QingQ77,22237,5,5,171,zh,A股,pool
ablenavy,8809,8,8,10,zh,A股,pool
caicai1953,21474,5,5,414,zh,A股,pool
BabybusFL,21177,5,6,507,zh,A股,pool
DeerLucid,15037,6,6,170,zh,A股,pool
feixiaohaocom,22149,5,5,5,zh,A股,pool
Phoenixyin13,13465,6,6,2257,zh,A股,pool
alexdata99,8031,8,9,615,zh,A股,pool
ismee_111,6482,9,10,133,zh,A股,pool
niniSweet88,10343,7,7,454,zh,A股,pool
cherryPayment,14267,6,7,132,zh,A股,pool
hisevenih,20519,5,6,91,zh,A股,pool
zhoguwn2782184,20256,5,5,91,zh,A股,pool
hanhanbtc,13454,6,8,364,zh,A股,pool
facai988,19195,5,5,452,zh,A股,pool
Web3Eden01,19227,5,5,296,zh,A股,pool
innomad_io,19363,5,5,183,zh,A股,pool
bafeite1234,9938,7,11,17,zh,A股,pool
MMMusol,17316,5,5,394,zh,A股,pool
0xJason,16729,5,5,765,zh,A股,pool
Mulight,17246,5,5,215,zh,A股,pool
LaoK201106,8357,7,7,451,zh,A股,pool
Luckyjudy666,11092,6,9,345,zh,A股,pool
Tabgdoueth,15094,5,6,215,zh,A股,pool
leslieloser_,15272,5,5,68,zh,A股,pool
AlphaguyTrading,15078,5,6,62,zh,A股,pool
William88Crypto,7499,7,7,40,zh,A股,pool
nbblock,14379,5,5,87,zh,A股,pool
Bifu_ZH,9797,6,6,168,zh,A股,pool
livermoerR,9792,6,7,114,zh,A股,pool
0xMilkRabbit,12839,5,6,1134,zh,A股,pool
LucasHuang0630,6562,7,9,1014,zh,A股,pool
AStockLink,5438,8,12,66,zh,A股,pool
ululazmi27,9204,6,6,111,zh,A股,pool
GoldGodTrader,12457,5,5,48,zh,A股,pool
yunfan716,5548,7,10,72,zh,A股,pool
bjrya39878759,10224,5,5,476,zh,A股,pool
Gutenberg1450,10601,5,8,74,zh,A股,pool
BNB776,5470,7,7,2,zh,A股,pool
xiaomusg,9357,5,5,328,zh,A股,pool
chnchn83987,6362,6,8,202,zh,A股,pool
Deltaking888,8799,5,5,234,zh,A股,pool
LynnChu26,7966,5,5,211,zh,A股,pool
Vesper2536,7999,5,5,31,zh,A股,pool
Poli69748,7986,5,7,30,zh,A股,pool
BaoZiDaDa010,7565,5,6,7,zh,A股,pool
kingzw888,7390,5,6,54,zh,A股,pool
Lindaawrf,5897,5,7,382,zh,A股,pool
Seraphine_Moyao,6119,5,5,70,zh,A股,pool
Web3Lanju,5917,5,5,215,zh,A股,pool
OxFeng777,6028,5,5,20,zh,A股,pool
LYSJingGe,5444,5,6,19,zh,A股,pool
A9xiaohui,5060,5,5,167,zh,A股,pool
Nickk_9797,5222,5,6,39,zh,A股,pool
JinDianZiAI,5088,5,6,67,zh,A股,pool
